job_id,title,description,company_id,location_id,job_type_id,category_id,posted_date,closing_date,salary_min,salary_max,is_featured,company_name,company_website,company_description,company_logo,skills,industries,job_type_name
61,"Software Engineer","Develop scalable web applications.",1,2,1,1,2023-10-01,2023-11-01,100000.00,150000.00,1,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Java,Python","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
62,"Data Engineer","Build data pipelines and infrastructure.",1,1,1,16,2023-10-11,2023-11-11,95000.00,145000.00,0,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Data Analysis,Python","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
63,"Product Designer","Design interfaces and user experiences.",1,2,1,10,2023-10-12,2023-11-12,85000.00,125000.00,0,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Project Management,Time Management","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
64,"Cloud Architect","Architect and implement cloud solutions.",1,2,1,19,2023-10-13,2023-11-13,120000.00,170000.00,1,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Problem-Solving,Time Management","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
65,"Technical Program Manager","Manage technical projects across teams.",1,1,1,17,2023-10-14,2023-11-14,110000.00,160000.00,0,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Communication,Project Management","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
66,"Marketing Specialist","Develop marketing campaigns and strategies.",1,1,1,2,2023-10-15,2023-11-15,70000.00,100000.00,0,Google,https://www.google.com,"A multinational technology company specializing in Internet-related services and products, including search engines, online advertising, and cloud computing.",https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,"Communication,Problem-Solving","AdTech,Information Technology,Media,Metaverse,Quantum Computing,Software",Full-time
67,"Data Scientist","Analyze data to improve products.",2,1,1,16,2023-10-02,2023-11-02,90000.00,140000.00,0,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,"Communication,Data Analysis","Information Technology",Full-time
68,"Software Engineer","Develop new software features.",2,4,1,1,2023-10-11,2023-11-11,95000.00,145000.00,0,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,"Communication,Content Writing","Information Technology",Full-time
69,"Sales Manager","Lead sales teams and meet targets.",2,1,1,3,2023-10-12,2023-11-12,80000.00,130000.00,0,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,"Adobe Photoshop,Graphic Design","Information Technology",Full-time
70,"DevOps Engineer","Support infrastructure and deployment.",2,4,1,1,2023-10-13,2023-11-13,100000.00,150000.00,1,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,"Communication,Customer Service","Information Technology",Full-time
71,"Technical Writer","Create documentation for software.",2,1,1,22,2023-10-14,2023-11-14,60000.00,90000.00,0,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,NULL,"Information Technology",Full-time
72,"Network Engineer","Manage network infrastructure.",2,4,1,19,2023-10-15,2023-11-15,85000.00,125000.00,0,Microsoft,https://www.microsoft.com,"A technology company that develops, licenses, and supports software, services, and devices, known for Windows and Office products.",https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,NULL,"Information Technology",Full-time
73,"Operations Manager","Oversee daily operations in the warehouse.",4,3,1,12,2023-10-03,2023-11-03,80000.00,120000.00,0,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
74,"Front-end Developer","Develop web front-end features.",4,1,1,1,2023-10-11,2023-11-11,90000.00,140000.00,0,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
75,"Customer Insights Analyst","Analyze customer data to find patterns.",4,1,1,16,2023-10-12,2023-11-12,75000.00,110000.00,0,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
76,"Supply Chain Specialist","Manage inventory and logistics.",4,3,1,13,2023-10-13,2023-11-13,85000.00,125000.00,0,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
77,"Machine Learning Engineer","Develop ML models to optimize operations.",4,1,1,16,2023-10-14,2023-11-14,110000.00,160000.00,1,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
78,"Warehouse Associate","Assist with warehouse tasks and inventory.",4,3,1,13,2023-10-15,2023-11-15,45000.00,60000.00,0,Amazon,https://www.amazon.com,"An e-commerce and cloud computing company, offering a wide range of consumer products, cloud services, and artificial intelligence solutions.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Amazon_logo.svg,NULL,"Information Technology,Logistics,Retail",Full-time
79,"Mechanical Engineer","Design automotive components.",5,2,1,7,2023-10-04,2023-11-04,85000.00,130000.00,1,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,NULL,"Automotive,Energy,Manufacturing",Full-time
80,"Battery Technician","Research and test battery performance.",5,2,1,7,2023-10-11,2023-11-11,70000.00,100000.00,0,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,"Java,SQL","Automotive,Energy,Manufacturing",Full-time
81,"Automation Engineer","Implement automation solutions in factories.",5,2,1,7,2023-10-12,2023-11-12,90000.00,135000.00,1,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,"AWS,Python","Automotive,Energy,Manufacturing",Full-time
82,"Safety Specialist","Ensure compliance with safety regulations.",5,2,1,15,2023-10-13,2023-11-13,75000.00,110000.00,0,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,"Project Management,Time Management","Automotive,Energy,Manufacturing",Full-time
83,"Design Engineer","Create blueprints for electric vehicle parts.",5,2,1,7,2023-10-14,2023-11-14,100000.00,150000.00,1,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,"Data Analysis,Problem-Solving","Automotive,Energy,Manufacturing",Full-time
84,"Robotics Technician","Assist in maintaining robotics equipment.",5,2,1,7,2023-10-15,2023-11-15,60000.00,90000.00,0,Tesla,https://www.tesla.com,"An automotive and clean energy company that designs and manufactures electric vehicles, battery energy storage, and solar power products.",https://upload.wikimedia.org/wikipedia/commons/e/e8/Tesla_logo.png,"Communication,Machine Learning","Automotive,Energy,Manufacturing",Full-time
85,"Product Manager","Lead product development teams.",6,1,1,24,2023-10-05,2023-11-05,100000.00,160000.00,0,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Adobe Photoshop,Content Writing","Information Technology,Media",Full-time
86,"Software Engineer","Develop social media features.",6,2,1,1,2023-10-11,2023-11-11,110000.00,170000.00,1,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Communication,CRM Software","Information Technology,Media",Full-time
87,"UI/UX Researcher","Conduct user research for improved design.",6,1,1,10,2023-10-12,2023-11-12,85000.00,130000.00,0,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Adobe Photoshop,Graphic Design","Information Technology,Media",Full-time
88,"Community Manager","Engage with and manage social communities.",6,2,1,18,2023-10-13,2023-11-13,70000.00,100000.00,0,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Communication,SQL","Information Technology,Media",Full-time
89,"Marketing Coordinator","Support marketing campaigns and strategies.",6,1,1,2,2023-10-14,2023-11-14,60000.00,85000.00,0,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Project Management,Team Leadership","Information Technology,Media",Full-time
90,"Data Engineer","Analyze user data to improve engagement.",6,2,1,16,2023-10-15,2023-11-15,95000.00,140000.00,0,Facebook,https://www.facebook.com,"A social media platform owned by Meta that connects people and allows them to share content and interact online.",https://upload.wikimedia.org/wikipedia/commons/5/51/Facebook_f_logo_%282019%29.svg,"Data Analysis,Microsoft Office","Information Technology,Media",Full-time
91,Consultant,"Provide technology consulting services.",8,4,1,20,2023-10-06,2023-11-06,70000.00,110000.00,0,IBM,https://www.ibm.com,"A multinational technology and consulting company offering a wide range of technology solutions and services, including cloud computing and AI.",https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg,"Machine Learning,Python","Consulting,Information Technology",Full-time
